script_id,title,year,gross,writer,producer,director,total female words,total male words,percentage female,percentage male
1902,The Bourne Identity,2002,181,m,m,m,1397,5041,22%,78%
1904,The Bourne Supremacy,2004,246,m,m,m,4048,6284,39%,61%
1907,The Bourne Ultimatum,2007,287,m,m,m,1996,8494,19%,81%
1909,The Box,2009,17,m,f,m,5008,8965,36%,64%
1922,Brick,2005,2,m,m,m,3234,16510,16%,84%
1925,Bridesmaids,2011,185,f,m,m,9010,2014,82%,18%
1933,Broken Embraces,2009,5,m,m,m,6200,8804,41%,59%
1943,Buried,2010,1,m,m,m,869,13700,6%,94%
1945,Burlesque,2010,43,m,f,m,10788,7068,60%,40%
1949,The Butterfly Effect,2004,,m,m,m,5396,14040,28%,72%
1955,Capote,2005,38,m,f,m,3472,19022,15%,85%
1957,Cars 2,2011,209,m,f,m,1511,11135,12%,88%
1962,Case 39,2009,15,m,f,m,5244,2926,64%,36%
1968,Catch Me If You Can,2002,245,m,m,m,1688,8913,16%,84%
1973,Cecil B. DeMented,2000,2,m,m,m,2009,5758,26%,74%
1974,Cedar Rapids,2011,7,m,m,m,1819,11418,14%,86%
1975,Celeste & Jesse Forever,2012,3,f,m,m,8350,5056,62%,38%
1976,The Cell,2000,98,m,m,m,4532,6556,41%,59%
1981,The Change-Up,2011,40,m,m,m,2761,16287,14%,86%
1989,Charlie's Angels,2000,201,m,f,m,6964,3608,66%,34%
1995,Cherry Falls,2000,,m,f,m,5392,4250,56%,44%
2003,Chronicle,2012,70,m,m,m,542,6943,7%,93%
2019,Clash of the Titans,2010,179,m,m,m,5206,9864,35%,65%
2033,Cold Mountain,2003,137,m,m,m,12274,11568,51%,49%
2035,Collateral,2004,140,m,m,m,1616,9768,14%,86%
2041,Colombiana,2011,40,m,m,m,1417,6248,18%,82%
2046,Conan the Barbarian,2011,23,m,m,m,2009,6568,23%,77%
2059,Coriolanus,2011,0,m,m,m,2623,9192,22%,78%
2063,Cowboys & Aliens,2011,109,m,m,m,2763,11660,19%,81%
2066,Crank,2006,36,m,m,m,613,4578,12%,88%
